"sample_type" "gene" "expression_level"
"155" "Tumor" "GATA3" 0.34
"156" "Tumor" "GATA3" 2.35
"157" "Tumor" "GATA3" 3.49
"158" "Tumor" "GATA3" 0.92
"159" "Tumor" "GATA3" 2.12
"160" "Tumor" "GATA3" 1.64
"161" "Tumor" "GATA3" 1.98
"162" "Tumor" "GATA3" 2.04
"163" "Tumor" "GATA3" 2.52
"164" "Tumor" "GATA3" 1.12
"165" "Tumor" "GATA3" 0.01
"166" "Tumor" "GATA3" 2.45
"167" "Tumor" "GATA3" 2.7
"168" "Tumor" "GATA3" 2.84
"169" "Tumor" "GATA3" 1.7
"170" "Tumor" "GATA3" 1.9
"171" "Tumor" "GATA3" -1.11
"172" "Tumor" "GATA3" 1.96
"173" "Tumor" "GATA3" 2.49
"174" "Tumor" "GATA3" 1.52
"175" "Tumor" "GATA3" 1.69
"176" "Tumor" "GATA3" 3
"177" "Tumor" "GATA3" 2.47
"178" "Tumor" "GATA3" 1.72
"179" "Tumor" "GATA3" 2.17
"180" "Tumor" "GATA3" 1.87
"181" "Tumor" "GATA3" -0.16
"182" "Tumor" "GATA3" -4.94
"183" "Tumor" "GATA3" 1.62
"184" "Tumor" "GATA3" 2.24
"185" "Tumor" "GATA3" -1.6
"186" "Tumor" "GATA3" 1.8
"187" "Tumor" "GATA3" 0.36
"188" "Tumor" "GATA3" 1.29
"189" "Tumor" "GATA3" -3.62
"190" "Tumor" "GATA3" 2.7
"191" "Tumor" "GATA3" 3.17
"192" "Tumor" "GATA3" -3.62
"193" "Tumor" "GATA3" 2.37
"194" "Tumor" "GATA3" 0.27
"195" "Tumor" "GATA3" 1.25
"196" "Tumor" "GATA3" 2.32
"197" "Tumor" "GATA3" 2.31
"198" "Tumor" "GATA3" 1.19
"199" "Tumor" "GATA3" 1.27
"200" "Tumor" "GATA3" -1.87
"201" "Tumor" "GATA3" 2.18
"202" "Tumor" "GATA3" 2.38
"203" "Tumor" "GATA3" -1.71
"204" "Tumor" "GATA3" 2.05
"205" "Tumor" "GATA3" 0.86
"206" "Tumor" "GATA3" 1.68
"207" "Tumor" "GATA3" 2.57
"208" "Tumor" "GATA3" 2.28
"209" "Tumor" "GATA3" 1.54
"210" "Tumor" "GATA3" 2.82
"211" "Tumor" "GATA3" -2.24
"212" "Tumor" "GATA3" 2.4
"213" "Tumor" "GATA3" 1.4
"214" "Tumor" "GATA3" 1.7
"215" "Tumor" "GATA3" 2.33
"216" "Tumor" "GATA3" 2.72
"217" "Tumor" "GATA3" 2.27
"218" "Tumor" "GATA3" 2.76
"219" "Tumor" "GATA3" 2.84
"220" "Tumor" "GATA3" 2.18
"221" "Tumor" "GATA3" -1
"222" "Tumor" "GATA3" 2.18
"223" "Tumor" "GATA3" 0.15
"224" "Tumor" "GATA3" 3.51
"225" "Tumor" "GATA3" -3.02
"226" "Tumor" "GATA3" 3.15
"227" "Tumor" "GATA3" -0.58
"228" "Tumor" "GATA3" 2.47
"229" "Tumor" "GATA3" 2.52
"230" "Tumor" "GATA3" 1.66
"231" "Tumor" "GATA3" 1.43
"232" "Tumor" "GATA3" 2.07
"233" "Tumor" "GATA3" 0.78
"234" "Tumor" "GATA3" 1.52
"235" "Tumor" "GATA3" -0.55
"236" "Tumor" "GATA3" 1.58
"237" "Tumor" "GATA3" 3.77
"238" "Tumor" "GATA3" 2.97
"239" "Tumor" "GATA3" 2.33
"240" "Tumor" "GATA3" -1.8
"241" "Tumor" "GATA3" 2.26
"242" "Tumor" "GATA3" -1.76
"243" "Tumor" "GATA3" 2.84
"244" "Tumor" "GATA3" 3.25
"245" "Tumor" "GATA3" -2.92
"246" "Tumor" "GATA3" -0.21
"247" "Tumor" "GATA3" 2.57
"248" "Tumor" "GATA3" 2
"249" "Tumor" "GATA3" 2.55
"250" "Tumor" "GATA3" -1.18
"251" "Tumor" "GATA3" 1.81
"252" "Tumor" "GATA3" -0.19
"253" "Tumor" "GATA3" 1.69
"254" "Tumor" "GATA3" 3.4
"255" "Tumor" "GATA3" 2.86
"256" "Tumor" "GATA3" -1.16
"257" "Tumor" "GATA3" 0.67
"258" "Tumor" "GATA3" -5.25
"259" "Tumor" "GATA3" 2.84
"260" "Tumor" "GATA3" 2.95
"261" "Tumor" "GATA3" -2.98
"262" "Tumor" "GATA3" 2.47
"263" "Tumor" "GATA3" -0.72
"264" "Tumor" "GATA3" 1.99
"265" "Tumor" "GATA3" 2.35
"266" "Tumor" "GATA3" 1.22
"267" "Tumor" "GATA3" 1.59
"268" "Tumor" "GATA3" 3.29
"269" "Tumor" "GATA3" -3.1
"270" "Tumor" "GATA3" 1.86
"271" "Tumor" "GATA3" 2.78
"272" "Tumor" "GATA3" -1.23
"273" "Tumor" "GATA3" -0.53
"274" "Tumor" "GATA3" -0.77
"275" "Tumor" "GATA3" -0.67
"276" "Tumor" "GATA3" 1.67
"277" "Tumor" "GATA3" 1.39
"278" "Tumor" "GATA3" 1.22
"279" "Tumor" "GATA3" -1.23
"280" "Tumor" "GATA3" 2.42
"281" "Tumor" "GATA3" -0.41
"282" "Tumor" "GATA3" -0.16
"283" "Tumor" "GATA3" 1.72
"284" "Tumor" "GATA3" 1.31
"285" "Tumor" "GATA3" 1.36
"286" "Tumor" "GATA3" 1.56
"287" "Tumor" "GATA3" 1.56
"288" "Tumor" "GATA3" 1.15
"289" "Tumor" "GATA3" -2.38
"290" "Tumor" "GATA3" -2.09
"291" "Tumor" "GATA3" 2.66
"292" "Tumor" "GATA3" -3.81
"293" "Tumor" "GATA3" 1.64
"294" "Tumor" "GATA3" 1.9
"295" "Tumor" "GATA3" 2.51
"296" "Tumor" "GATA3" 2.52
"297" "Tumor" "GATA3" 2.38
"298" "Tumor" "GATA3" 1.36
"299" "Tumor" "GATA3" 2.6
"300" "Tumor" "GATA3" 2.54
"301" "Tumor" "GATA3" -1.99
"302" "Tumor" "GATA3" -0.13
"303" "Tumor" "GATA3" 2.47
"304" "Tumor" "GATA3" 1.1
"305" "Tumor" "GATA3" 2.33
"306" "Tumor" "GATA3" 2.14
"307" "Tumor" "GATA3" -0.55
"308" "Tumor" "GATA3" 0.44
"309" "Tumor" "GATA3" 3.11
"310" "Tumor" "GATA3" 2.13
"311" "Tumor" "GATA3" 2.25
"312" "Tumor" "GATA3" 3.48
"313" "Tumor" "GATA3" 2.93
"314" "Tumor" "GATA3" 2.87
"315" "Tumor" "GATA3" 1.48
"316" "Tumor" "GATA3" 2.21
"317" "Tumor" "GATA3" 1.46
"318" "Tumor" "GATA3" 0.94
"319" "Tumor" "GATA3" -0.69
"320" "Tumor" "GATA3" -1.36
"321" "Tumor" "GATA3" 1.88
"322" "Tumor" "GATA3" 2.62
"323" "Tumor" "GATA3" 1.9
"324" "Tumor" "GATA3" 2.65
"325" "Tumor" "GATA3" 1.89
"326" "Tumor" "GATA3" -1.39
"327" "Tumor" "GATA3" 1.62
"328" "Tumor" "GATA3" 2.04
"329" "Tumor" "GATA3" 2.57
"330" "Tumor" "GATA3" -0.77
"331" "Tumor" "GATA3" 2.65
"332" "Tumor" "GATA3" 1.9
"333" "Tumor" "GATA3" 2.99
"334" "Tumor" "GATA3" 0.12
"335" "Tumor" "GATA3" 1.53
"336" "Tumor" "GATA3" -3.82
"337" "Tumor" "GATA3" 0.46
"338" "Tumor" "GATA3" 0.44
"339" "Tumor" "GATA3" 2.02
"340" "Tumor" "GATA3" 2.45
"341" "Tumor" "GATA3" 2.4
"342" "Tumor" "GATA3" 2.07
"343" "Tumor" "GATA3" 1.58
"344" "Tumor" "GATA3" -0.14
"345" "Tumor" "GATA3" 1.86
"346" "Tumor" "GATA3" -3.23
"347" "Tumor" "GATA3" 2.02
"348" "Tumor" "GATA3" -0.34
"349" "Tumor" "GATA3" 0.65
"350" "Tumor" "GATA3" -2.32
"351" "Tumor" "GATA3" 2.63
"352" "Tumor" "GATA3" -2.58
"353" "Tumor" "GATA3" 0.06
"354" "Tumor" "GATA3" 2.3
"355" "Tumor" "GATA3" -0.5
"356" "Tumor" "GATA3" 1.83
"357" "Tumor" "GATA3" 2.48
"358" "Tumor" "GATA3" 1.23
"359" "Tumor" "GATA3" -2.03
"360" "Tumor" "GATA3" 1.01
"361" "Tumor" "GATA3" 2.17
"362" "Tumor" "GATA3" -0.28
"363" "Tumor" "GATA3" 1.28
"364" "Tumor" "GATA3" 2.49
"365" "Tumor" "GATA3" 0.18
"366" "Tumor" "GATA3" 1.1
"367" "Tumor" "GATA3" 0.51
"368" "Tumor" "GATA3" 2.27
"369" "Tumor" "GATA3" 1.59
"370" "Tumor" "GATA3" 0.92
"371" "Tumor" "GATA3" 2.07
"372" "Tumor" "GATA3" 2.5
"373" "Tumor" "GATA3" 1.25
"374" "Tumor" "GATA3" 2.28
"375" "Tumor" "GATA3" -0.24
"376" "Tumor" "GATA3" -1.13
"377" "Tumor" "GATA3" 0.27
"378" "Tumor" "GATA3" 0.65
"379" "Tumor" "GATA3" 0.83
"380" "Tumor" "GATA3" 2.25
"381" "Tumor" "GATA3" 2.01
"382" "Tumor" "GATA3" -0.16
"383" "Tumor" "GATA3" -0.57
"384" "Tumor" "GATA3" 2.6
"385" "Tumor" "GATA3" -3.36
"386" "Tumor" "GATA3" 2.39
"387" "Tumor" "GATA3" 1.47
"388" "Tumor" "GATA3" 1.63
"389" "Tumor" "GATA3" 0.2
"390" "Tumor" "GATA3" 2.32
"391" "Tumor" "GATA3" 1.21
"392" "Tumor" "GATA3" 0.54
"393" "Tumor" "GATA3" 2.31
"394" "Tumor" "GATA3" 0.62
"395" "Tumor" "GATA3" -0.79
"396" "Tumor" "GATA3" 0.44
"397" "Tumor" "GATA3" 1.71
"398" "Tumor" "GATA3" 1.05
"399" "Tumor" "GATA3" 2.54
"400" "Tumor" "GATA3" 0.48
"401" "Tumor" "GATA3" 2.2
"402" "Tumor" "GATA3" 2.24
"403" "Tumor" "GATA3" 0.3
"404" "Tumor" "GATA3" 2.14
"405" "Tumor" "GATA3" 0.53
"406" "Tumor" "GATA3" 2.02
"407" "Tumor" "GATA3" 0.55
"408" "Tumor" "GATA3" 1.42
"409" "Tumor" "GATA3" 0.85
"410" "Tumor" "GATA3" 0.58
"411" "Tumor" "GATA3" 0.5
"412" "Tumor" "GATA3" 1.98
"413" "Tumor" "GATA3" 2.97
"414" "Tumor" "GATA3" 0.38
"415" "Tumor" "GATA3" 2.49
"416" "Tumor" "GATA3" 2.48
"417" "Tumor" "GATA3" 3.88
"418" "Tumor" "GATA3" 2.52
"419" "Tumor" "GATA3" -1.17
"420" "Tumor" "GATA3" 2.87
"421" "Tumor" "GATA3" 1.82
"422" "Tumor" "GATA3" 2.16
"423" "Tumor" "GATA3" 2.64
"424" "Tumor" "GATA3" 2.68
"425" "Tumor" "GATA3" 1.23
"426" "Tumor" "GATA3" 1.54
"427" "Tumor" "GATA3" 1.66
"428" "Tumor" "GATA3" 0.6
"429" "Tumor" "GATA3" 1.19
"430" "Tumor" "GATA3" -3.09
"431" "Tumor" "GATA3" 2.39
"432" "Tumor" "GATA3" 0.36
"433" "Tumor" "GATA3" 2.65
"434" "Tumor" "GATA3" 2.06
"435" "Tumor" "GATA3" 1.81
"436" "Tumor" "GATA3" 2.14
"437" "Tumor" "GATA3" 0.52
"438" "Tumor" "GATA3" 2.51
"439" "Tumor" "GATA3" 1.49
"440" "Tumor" "GATA3" 2.09
"441" "Tumor" "GATA3" 2.01
"442" "Tumor" "GATA3" 1.3
"443" "Tumor" "GATA3" 2.48
"444" "Tumor" "GATA3" 2.28
"445" "Tumor" "GATA3" 1.21
"446" "Tumor" "GATA3" 0.03
"447" "Tumor" "GATA3" 1.98
"448" "Tumor" "GATA3" 2.77
"449" "Tumor" "GATA3" 1.73
"450" "Tumor" "GATA3" 1.71
"451" "Tumor" "GATA3" -3.23
"452" "Tumor" "GATA3" 1.62
"453" "Tumor" "GATA3" 0.63
"454" "Tumor" "GATA3" 1.29
"455" "Tumor" "GATA3" 2.51
"456" "Tumor" "GATA3" -0.36
"457" "Tumor" "GATA3" 2.25
"458" "Tumor" "GATA3" 0.97
"459" "Tumor" "GATA3" -1.01
"460" "Tumor" "GATA3" 0.77
"461" "Tumor" "GATA3" 1.34
"462" "Tumor" "GATA3" 0.14
"463" "Tumor" "GATA3" 1
"464" "Tumor" "GATA3" 0.4
"465" "Tumor" "GATA3" 2.01
"466" "Tumor" "GATA3" 0.22
"467" "Tumor" "GATA3" 2.05
"468" "Tumor" "GATA3" 1.22
"469" "Tumor" "GATA3" -1.49
"470" "Tumor" "GATA3" 0.09
"471" "Tumor" "GATA3" 2.28
"472" "Tumor" "GATA3" -0.02
"473" "Tumor" "GATA3" 2.75
"474" "Tumor" "GATA3" 1.93
"475" "Tumor" "GATA3" 0.03
"476" "Tumor" "GATA3" 1.68
"477" "Tumor" "GATA3" 0.36
"478" "Tumor" "GATA3" -2.18
"479" "Tumor" "GATA3" -3.45
"480" "Tumor" "GATA3" 1.39
"481" "Tumor" "GATA3" 2.24
"482" "Tumor" "GATA3" 0.66
"483" "Tumor" "GATA3" 2.57
"484" "Tumor" "GATA3" 0.01
"485" "Tumor" "GATA3" 1.53
"486" "Tumor" "GATA3" 1.91
"487" "Tumor" "GATA3" 0.31
"488" "Tumor" "GATA3" 1.51
"489" "Tumor" "GATA3" 0.23
"490" "Tumor" "GATA3" -2.97
"491" "Tumor" "GATA3" -1.5
"492" "Tumor" "GATA3" -0.7
"493" "Tumor" "GATA3" 3.43
"494" "Tumor" "GATA3" 2.95
"495" "Tumor" "GATA3" 0.2
"496" "Tumor" "GATA3" -3.54
"497" "Tumor" "GATA3" 0.36
"498" "Tumor" "GATA3" 1.99
"499" "Tumor" "GATA3" 2.42
"500" "Tumor" "GATA3" -1.07
"501" "Tumor" "GATA3" 2.07
"502" "Tumor" "GATA3" 3
"503" "Tumor" "GATA3" 1.84
"504" "Tumor" "GATA3" 1.09
"505" "Tumor" "GATA3" 1.05
"506" "Tumor" "GATA3" -0.7
"507" "Tumor" "GATA3" 1.51
"508" "Tumor" "GATA3" 2.98
"509" "Tumor" "GATA3" -1.12
"510" "Tumor" "GATA3" -0.36
"511" "Tumor" "GATA3" 1.67
"512" "Tumor" "GATA3" 2.19
"513" "Tumor" "GATA3" 1.23
"514" "Tumor" "GATA3" 1.01
"515" "Tumor" "GATA3" 2.05
"516" "Tumor" "GATA3" 1.69
"517" "Tumor" "GATA3" 1.84
"518" "Tumor" "GATA3" 2.46
"519" "Tumor" "GATA3" -1.04
"520" "Tumor" "GATA3" -3.91
"521" "Tumor" "GATA3" 2.72
"522" "Tumor" "GATA3" 1.59
"523" "Tumor" "GATA3" -1.39
"524" "Tumor" "GATA3" -2.5
"525" "Tumor" "GATA3" 2.38
"526" "Tumor" "GATA3" 2.23
"527" "Tumor" "GATA3" -3.5
"528" "Tumor" "GATA3" 2.42
"529" "Tumor" "GATA3" 2.39
"530" "Tumor" "GATA3" 2.39
"531" "Tumor" "GATA3" 1.03
"532" "Tumor" "GATA3" 1.82
"533" "Tumor" "GATA3" 3.55
"534" "Tumor" "GATA3" 2.72
"535" "Tumor" "GATA3" 1.79
"536" "Tumor" "GATA3" 3.11
"537" "Tumor" "GATA3" 2.31
"538" "Tumor" "GATA3" 0.41
"539" "Tumor" "GATA3" 1.91
"540" "Tumor" "GATA3" 0.36
"541" "Tumor" "GATA3" 2.86
"542" "Tumor" "GATA3" -2.52
"543" "Tumor" "GATA3" 2.63
"544" "Tumor" "GATA3" 2.69
"545" "Tumor" "GATA3" 1.54
"546" "Tumor" "GATA3" 2
"547" "Tumor" "GATA3" -2.53
"548" "Tumor" "GATA3" -2.21
"549" "Tumor" "GATA3" 2.57
"550" "Tumor" "GATA3" -0.44
"551" "Tumor" "GATA3" 1.34
"552" "Tumor" "GATA3" -0.19
"553" "Tumor" "GATA3" 1.36
"554" "Tumor" "GATA3" 2.95
"555" "Tumor" "GATA3" 3.5
"556" "Tumor" "GATA3" 2.62
"557" "Tumor" "GATA3" -3.9
"558" "Tumor" "GATA3" -2.85
"559" "Tumor" "GATA3" -0.96
"560" "Tumor" "GATA3" 1.02
"561" "Tumor" "GATA3" 1.24
"562" "Tumor" "GATA3" 1.53
"563" "Tumor" "GATA3" 2.91
"564" "Tumor" "GATA3" 1.64
"565" "Tumor" "GATA3" 1.61
"566" "Tumor" "GATA3" 2.11
"567" "Tumor" "GATA3" 2.94
"568" "Tumor" "GATA3" 2.69
"569" "Tumor" "GATA3" -1.88
"570" "Tumor" "GATA3" 2.86
"571" "Tumor" "GATA3" 2.03
"572" "Tumor" "GATA3" 2.59
"573" "Tumor" "GATA3" 1.84
"574" "Tumor" "GATA3" 1.91
"575" "Tumor" "GATA3" -0.7
"576" "Tumor" "GATA3" 1.68
"577" "Tumor" "GATA3" 2.23
"578" "Tumor" "GATA3" 1.7
"579" "Tumor" "GATA3" 2.82
"580" "Tumor" "GATA3" 2.62
"581" "Tumor" "GATA3" 3.39
"582" "Tumor" "GATA3" -1.3
"583" "Tumor" "GATA3" -2.81
"584" "Tumor" "GATA3" 1.24
"585" "Tumor" "GATA3" 3.05
"586" "Tumor" "GATA3" -1.2
"587" "Tumor" "GATA3" 0.15
"588" "Tumor" "GATA3" -2.94
"589" "Tumor" "GATA3" 1.47
"590" "Tumor" "GATA3" 1.7
"591" "Normal" "GATA3" -3.46
"592" "Normal" "GATA3" -3.69
"593" "Normal" "GATA3" -3.81
"594" "Normal" "GATA3" -4.35
"595" "Normal" "GATA3" -4.53
"596" "Normal" "GATA3" -3.88
"597" "Normal" "GATA3" -3.45
"598" "Normal" "GATA3" -4.25
"599" "Normal" "GATA3" -3.15
"600" "Normal" "GATA3" -4.25
"601" "Normal" "GATA3" -3.99
"602" "Normal" "GATA3" -3.43
"603" "Normal" "GATA3" -3.21
"604" "Normal" "GATA3" -4.31
"605" "Normal" "GATA3" -4.46
"606" "Normal" "GATA3" -4.13
"607" "Normal" "GATA3" -3.83
"608" "Normal" "GATA3" -5.24
"609" "Normal" "GATA3" -4.72
"610" "Normal" "GATA3" -4.29
"611" "Normal" "GATA3" -3.51
"612" "Normal" "GATA3" -4.22
"613" "Normal" "GATA3" -5.55
"614" "Normal" "GATA3" -4.7
"615" "Normal" "GATA3" -4.72
"616" "Normal" "GATA3" -4.44
"617" "Normal" "GATA3" -5.3
"618" "Normal" "GATA3" -5.27
"619" "Normal" "GATA3" -4.52
"620" "Normal" "GATA3" -5.96
"621" "Normal" "GATA3" -4.5
"622" "Normal" "GATA3" -4.01
"623" "Normal" "GATA3" -4.98
"624" "Normal" "GATA3" -4.66
"625" "Normal" "GATA3" -3.73
"626" "Normal" "GATA3" -2.66
"627" "Normal" "GATA3" -4.68
"628" "Normal" "GATA3" -2.27
"629" "Normal" "GATA3" -4.87
"630" "Normal" "GATA3" -3.95
"631" "Normal" "GATA3" -4.51
"632" "Normal" "GATA3" -3.62
"633" "Normal" "GATA3" -2.9
"634" "Normal" "GATA3" -3.66
"635" "Normal" "GATA3" -3.83
"636" "Normal" "GATA3" -4.78
"637" "Normal" "GATA3" -4.7
"638" "Normal" "GATA3" -4.56
"639" "Normal" "GATA3" -4.69
"640" "Normal" "GATA3" -4.22
"641" "Normal" "GATA3" -4.15
"642" "Normal" "GATA3" -4.49
"643" "Normal" "GATA3" -4.53
"644" "Normal" "GATA3" -4.32
"645" "Normal" "GATA3" -4.66
"646" "Normal" "GATA3" -4.95
"647" "Normal" "GATA3" -4.89
"648" "Normal" "GATA3" -5.23
"649" "Normal" "GATA3" -5.34
"650" "Normal" "GATA3" -4.7
"651" "Normal" "GATA3" -4.23
"652" "Normal" "GATA3" -4.85
"653" "Normal" "GATA3" -4.52
"654" "Normal" "GATA3" -5.21
"655" "Normal" "GATA3" -5.35
"656" "Normal" "GATA3" -5.58
"657" "Normal" "GATA3" -3.84
"658" "Normal" "GATA3" -4.48
"659" "Normal" "GATA3" -5.71
"660" "Normal" "GATA3" -5
"661" "Normal" "GATA3" -5.15
"662" "Normal" "GATA3" -4.16
"663" "Normal" "GATA3" -3.19
"664" "Normal" "GATA3" -3.48
"665" "Normal" "GATA3" -3.47
"666" "Normal" "GATA3" -3.53
"667" "Normal" "GATA3" -3.8
"668" "Normal" "GATA3" -3.84
"669" "Normal" "GATA3" -3.28
"670" "Normal" "GATA3" -2.39
"671" "Normal" "GATA3" -3.36
"672" "Normal" "GATA3" -3.4
"673" "Normal" "GATA3" -3.7
"674" "Normal" "GATA3" -3.34
"675" "Normal" "GATA3" -3.36
"676" "Normal" "GATA3" -2.76
"677" "Normal" "GATA3" -3.5
"678" "Normal" "GATA3" -3.41
"679" "Normal" "GATA3" -3.91
"680" "Normal" "GATA3" -3.62
"681" "Normal" "GATA3" -3.67
"682" "Normal" "GATA3" -3
"683" "Normal" "GATA3" -2.97
"684" "Normal" "GATA3" -3.8
"685" "Normal" "GATA3" -3.06
"686" "Normal" "GATA3" -3.17
"687" "Normal" "GATA3" -3.53
"688" "Normal" "GATA3" -3.49
"689" "Normal" "GATA3" -3.33
"690" "Normal" "GATA3" -3.95
"691" "Normal" "GATA3" -2.08
"692" "Normal" "GATA3" -4.34
"693" "Normal" "GATA3" -3.8
"694" "Normal" "GATA3" -3.26
"695" "Normal" "GATA3" -3.47
"696" "Normal" "GATA3" -3.57
"697" "Normal" "GATA3" -3.94
"698" "Normal" "GATA3" -3.36
"699" "Normal" "GATA3" -3.5
"700" "Normal" "GATA3" -5.02
"701" "Normal" "GATA3" -3.28
"702" "Normal" "GATA3" -4.09
"703" "Normal" "GATA3" -3.82
"704" "Normal" "GATA3" -3.95
